p,x,s,n,t,p_2,f,c,n_2,k,e,e_2,s_2,s_3,w,w_2,p_3,w_3,o,p_4,k_2,s_4,u
e,x,s,y,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,w,true,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,y,true,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,b,s,y,true,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
e,f,y,n,true,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g
e,f,s,n,false,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,s,g
p,x,s,w,true,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,y,n,true,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,g
e,x,s,g,false,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,s,w,false,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,a,g
e,f,f,w,false,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,n,false,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,x,s,w,true,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,y,w,true,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
e,f,y,y,true,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,s,w,false,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
e,f,y,y,true,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,p
e,f,s,n,false,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
e,f,f,g,false,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,k,s,g
e,f,f,y,true,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,f,y,n,true,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,f,n,true,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,n,y,d
p,f,s,n,true,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,f,n,true,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
e,f,f,n,false,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,y,y,true,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
e,b,s,y,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
e,b,y,w,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,y,w,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
p,f,y,w,true,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
p,f,y,w,true,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
e,x,f,n,false,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
e,f,s,y,true,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,y,true,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,x,s,w,false,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,f,g,true,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,y,d
e,b,y,w,true,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
p,x,y,n,true,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,f,g,false,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
e,f,f,n,false,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,s,w,false,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,f,w,false,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,y,y,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
e,f,f,y,true,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,f,g,false,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
p,x,s,n,true,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,y,y,true,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
e,x,y,y,true,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,y,n,true,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p
e,x,f,w,false,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,y,n,true,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,n,v,d
e,x,s,g,false,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g
e,x,s,w,true,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,f,g,false,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,s,g
p,f,y,n,true,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
e,x,f,n,true,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,k,v,d
e,x,f,g,false,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,a,g
e,x,f,e,true,n,f,c,b,w,t,b,s,s,w,w,p,w,o,p,k,v,d
e,x,y,y,true,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
e,x,f,n,true,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,y,d
e,x,f,g,false,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,a,g
e,x,y,y,true,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
e,x,f,n,false,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,s,g
e,b,s,y,true,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,x,f,w,true,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
e,f,s,g,false,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,s,g
e,x,y,y,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,x,f,n,false,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
e,f,s,w,false,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
e,b,y,w,true,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,s,y,true,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
e,x,s,g,false,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,f,g,false,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,n,s,g
p,f,y,w,true,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,f,f,y,true,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
e,x,y,w,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
e,f,f,w,false,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
e,x,f,n,true,n,f,c,b,u,t,b,s,s,g,g,p,w,o,p,k,v,d
e,x,y,n,true,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
e,x,s,w,false,n,f,w,b,h,t,e,s,f,w,w,p,w,o,e,n,a,g
e,b,y,w,true,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
p,f,y,w,true,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,g
e,x,s,y,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
e,x,f,g,true,n,f,c,b,p,t,b,s,s,p,w,p,w,o,p,k,y,d
e,f,y,y,true,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,f,s,g,false,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
e,f,f,n,false,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
p,f,y,w,true,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,f,f,g,false,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
e,x,y,n,true,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
e,f,f,w,false,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,a,g
e,x,s,y,true,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,y,n,true,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,b,s,y,true,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
e,f,f,g,false,n,f,w,b,n,t,e,f,f,w,w,p,w,o,e,k,s,g
e,b,s,w,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
e,f,f,g,false,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,n,s,g
e,b,y,w,true,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
e,x,y,w,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
p,f,y,n,true,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,g
e,x,y,y,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
e,s,f,n,false,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
e,x,s,y,true,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
